"","country","gdp.cap14","electric14","contracts14","health14","property14","startup14","getting_electric","energy.consumption"
"1","Angola",4709.312024,312.4760173,25.22,179.3578537,43.03,55.63,56.53,545.0404908
"2","Albania",4575.763787,2309.366503,56.84,272.2042915,59.53,90.34,58.05,808.4558396
"3","United Arab Emirates",44449.74035,11263.53192,71.37,1610.79898,74.83,88.5,97.43,7769.234738
"4","Argentina",12245.25645,3052.381937,61.97,605.1878448,56.1,71.89,72.6,2015.18704
"5","Armenia",3994.712355,1965.783733,52.58,161.5523856,69.91,96.04,70.56,1018.07124
"6","Australia",62214.60912,10077.83487,77.06,6031.107458,81.69,96.47,80.58,5338.090681
"7","Austria",51322.63997,8360.518991,80.65,5580.493943,77.84,79.97,87.75,3765.434361
"8","Azerbaijan",7891.299776,2202.393918,69.02,471.4143956,65.74,95.3,65.82,1502.078168
"9","Belgium",47439.39684,7709.123078,77.67,4884.066261,74.23,94.38,72.81,4708.221218
"10","Benin",943.686575,100.2263892,35.46,37.88944806,44.19,54.25,35.27,416.7957653
"11","Bangladesh",1084.56543,310.3912261,20.82,30.83346991,45.57,80.52,15.22,222.2209592
"12","Bulgaria",7853.335191,4708.927458,64.27,661.8465273,68.82,84.8,65.7,2477.655401
"13","Bahrain",24983.37902,19592.23195,52.33,1242.844177,68.07,73.9,78.95,10593.99714
"14","Bosnia and Herzegovina",5193.904932,3365.67394,56.89,463.6399279,55.39,63.37,54.69,2194.055976
"15","Belarus",8318.429294,3679.97884,78.7,450.2139558,65.02,90.15,62.38,2928.520216
"16","Bolivia",3124.00031,752.6870217,54.93,208.7841942,50.14,60.15,64.82,788.8043534
"17","Brazil",12026.61731,2601.365506,52.03,947.427696,53.15,62.27,90.6,1484.926638
"18","Brunei Darussalam",41590.86502,10242.7958,47.76,957.605998,65.1,48.75,83.23,8632.325651
"19","Botswana",7497.762376,1748.615334,64.02,385.314097,68.58,77.95,72.36,1252.679988
"20","Canada",50440.43376,15541.50446,63.76,5291.74613,80.52,97.23,59.26,7874.051993
"21","Switzerland",85814.58857,7520.166025,67.1,9673.523535,76.07,88.44,96.71,3059.936749
"22","Chile",14817.37778,3911.649265,63.85,1137.356265,72.12,89.83,79.45,2049.688829
"23","China",7683.502038,3927.0445,68.21,419.7342406,61.13,68.72,66.19,2236.729908
"24","Cameroon",1441.140107,280.6666791,42.11,58.6522027,48.48,74.32,80.24,341.8626717
"25","Colombia",7913.383432,1289.569693,37.66,569.1852903,70.03,86.13,74.05,711.5831798
"26","Costa Rica",10647.44179,1957.930248,51.13,970.002032,62.37,81.09,81.61,1031.141495
"27","Cyprus",27340.88382,3624.895753,54.17,1819.112996,69.38,89.19,60.97,1712.124092
"28","Czech Republic",19744.55861,6258.891037,68,1378.521202,71.66,83.22,86.64,3915.113582
"29","Germany",47902.65288,7035.482975,76.74,5410.634639,79.55,81.73,98.36,3779.461921
"30","Denmark",62425.5392,5858.801536,68.79,6463.243218,85.71,92.82,91.06,2872.573547
"31","Dominican Republic",6268.692122,1578.151662,60.64,268.9943173,62.34,82.62,67.26,734.4078962
"32","Algeria",5470.851007,1356.264554,52.89,361.7291743,50.83,73.11,58.97,1321.099494
"33","Ecuador",6432.216537,1380.610286,58.3,579.1924445,57.96,65.14,66.96,891.6886204
