country,startup14
Afghanistan,93.27
Albania,90.34
Algeria,73.11
Angola,55.63
Antigua and Barbuda,81.58
Argentina,71.89
Armenia,96.04
Australia,96.47
Austria,79.97
Azerbaijan,95.3
"Bahamas, The",84.1
Bahrain,73.9
Bangladesh,80.52
Bangladesh - Chittagong,81.11
Bangladesh - Dhaka,80.36
Barbados,84.4
Belarus,90.15
Belgium,94.38
Belize,73.12
Benin,54.25
Bhutan,81.69
Bolivia,60.15
Bosnia and Herzegovina,63.37
Botswana,77.95
Brazil,62.27
Brazil - Rio de Janeiro,70.85
Brazil - São Paulo,56.78
Brunei Darussalam,48.75
Bulgaria,84.8
Burkina Faso,69.21
Burundi,93.74
Cabo Verde,85.38
Cambodia,40.87
Cameroon,74.32
Canada,97.23
Central African Republic,36.12
Chad,34.28
Chile,89.83
China,68.72
China - Beijing,68.31
China - Shanghai,69.05
Colombia,86.13
Comoros,59.96
"Congo, Dem Rep",26.77
"Congo, Rep",49.37
Costa Rica,81.09
Cote d’Ivoire,76.4
Croatia,83.24
Cyprus,89.19
Czech Republic,83.22
Denmark,92.82
Djibouti,61.01
Dominica,89.15
Dominican Republic,82.62
Ecuador,65.14
"Egypt, Arab Rep",87.22
El Salvador,79.93
Equatorial Guinea,36.86
Eritrea,42.8
Estonia,91.13
Ethiopia,46.57
Fiji,67.96
Finland,93.1
France,92.49
Gabon,75.97
"Gambia, The",61.26
Georgia,95.99
Germany,81.73
Ghana,83.17
Greece,89.22
Grenada,86.55
Guatemala,79.13
Guinea,58.16
Guinea-Bissau,58.52
Guyana,85.23
Haiti,33.39
Honduras,74.18
"Hong Kong SAR, China",96.45
Hungary,89.32
Iceland,92.12
India,61.02
India - Delhi,61.25
India - Mumbai,60.76
Indonesia,60.97
Indonesia - Jakarta,59.85
Indonesia - Surabaya,64.96
"Iran, Islamic Rep",82.58
Iraq,73.84
Ireland,93.17
Israel,90.47
Italy,86.88
Jamaica,91.93
Japan,85.96
Japan - Osaka,86.13
Japan - Tokyo,85.87
Jordan,84.64
Kazakhstan,86.7
Kenya,72.61
Kiribati,76.28
"Korea, Rep",94.36
Kosovo,84.19
Kuwait,70.02
Kyrgyz Republic,92.87
Lao PDR,67.2
Latvia,92.33
Lebanon,79.51
Lesotho,82.59
Liberia,92.19
Libya,74.55
Lithuania,90.1
Luxembourg,88.57
"Macedonia, FYR",96.22
Madagascar,80.95
Malawi,61.83
Malaysia,88.7
Maldives,88.83
Mali,63.45
Malta,75.21
Marshall Islands,88.42
Mauritania,58.17
Mauritius,91.43
Mexico,86.86
Mexico - Mexico City,86.68
Mexico - Monterrey,87.77
"Micronesia, Fed Sts",69.66
Moldova,88.37
Mongolia,91.29
Montenegro,90.04
Morocco,90.29
Mozambique,80.3
Myanmar,18.34
Namibia,68.46
Nepal,82.71
Netherlands,94.06
New Zealand,99.96
Nicaragua,72.63
Niger,53.48
Nigeria,73.81
Nigeria - Kano,68.16
Nigeria - Lagos,75.5
Norway,92.21
Oman,76.49
Pakistan,77.19
Pakistan - Karachi,77.19
Pakistan - Lahore,77.19
Palau,81.69
Panama,91.85
Papua New Guinea,76.97
Paraguay,77.38
Peru,85.05
Philippines,66.4
Poland,84
Portugal,92.82
Puerto Rico US,91.09
Qatar,82.32
Romania,90.4
Russian Federation,89.16
Russian Federation - Moscow,87.3
Russian Federation - Saint Petersburg,93.49
Rwanda,85.7
Samoa,92.25
San Marino,76.91
São Tomé and Príncipe,72.75
Saudi Arabia,75.59
Senegal,74.16
Serbia,88.86
Seychelles,78.32
Sierra Leone,83.68
Singapore,96.48
Slovak Republic,85.25
Slovenia,91.07
Solomon Islands,83.11
Somalia,48.27
South Africa,79.71
South Sudan,53.96
Spain,86.3
Sri Lanka,84.98
St Kitts and Nevis,85.66
St Lucia,88.68
St Vincent and the Grenadines,86.72
Sudan,75.14
Suriname,47.9
Swaziland,73.46
Sweden,94.61
Switzerland,88.44
Syrian Arab Republic,78.91
"Taiwan, China",94.41
Tajikistan,90.26
Tanzania,78.93
Thailand,85.03
Timor-Leste,83.63
Togo,78.37
Tonga,90.75
Trinidad and Tobago,88.33
Tunisia,85.11
Turkey,85.18
Uganda,69.26
Ukraine,93.88
United Arab Emirates,88.5
United Kingdom,94.57
United States,91.22
United States - Los Angeles,90.66
United States - New York City,91.6
Uruguay,89.9
Uzbekistan,93.91
Vanuatu,75.51
"Venezuela, RB",38.91
Vietnam,82.72
West Bank and Gaza,64.79
"Yemen, Rep",73.36
Zambia,84.88
Zimbabwe,49.22
